number_series,answer,obfuscation,obfuscation_ground_truth
"7, 10, 8, 11, 9, 12, ...",10,"Theta, Beta Alpha, Iota, Beta Beta, Kappa, Beta Gamma, ",Beta Alpha
"36, 34, 30, 28, 24, ...",22,"Delta Eta, Delta Epsilon, Delta Alpha, Gamma Iota, Gamma Epsilon, ",Gamma Gamma
"22, 21, 23, 22, 24, 23, ...",25,"Gamma Gamma, Gamma Beta, Gamma Delta, Gamma Gamma, Gamma Epsilon, Gamma Delta, ",Gamma Zeta
"53, 53, 40, 40, 27, 27, ...",14,"Zeta Delta, Zeta Delta, Epsilon Alpha, Epsilon Alpha, Gamma Theta, Gamma Theta, ",Beta Epsilon
"21, 9, 21, 11, 21, 13, 21, ...",15,"Gamma Beta, Kappa, Gamma Beta, Beta Beta, Gamma Beta, Beta Delta, Gamma Beta, ",Beta Zeta
"58, 52, 46, 40, 34, ...",28,"Zeta Iota, Zeta Gamma, Epsilon Eta, Epsilon Alpha, Delta Epsilon, ",Gamma Iota
"3, 4, 7, 8, 11, 12, ...",15,"Delta, Epsilon, Theta, Iota, Beta Beta, Beta Gamma, ",Beta Zeta
"8, 22, 8, 28, 8, ...",34,"Iota, Gamma Gamma, Iota, Gamma Iota, Iota, ",Delta Epsilon
"31, 29, 24, 22, 17, ...",15,"Delta Beta, Gamma Kappa, Gamma Epsilon, Gamma Gamma, Beta Theta, ",Beta Zeta
"1.5, 2.3, 3.1, 3.9, ...",4.7,"Beta Zeta, Gamma Delta, Delta Beta, Delta Kappa, ",Epsilon Theta
"14, 28, 20, 40, 32, 64, ...",56,"Beta Epsilon, Gamma Iota, Gamma Alpha, Epsilon Alpha, Delta Gamma, Eta Epsilon, ",Zeta Eta
"2, 4, 6, 8, 10, ...",12,"Gamma, Epsilon, Eta, Iota, Beta Alpha, ",Beta Gamma
"201, 202, 204, 207, ...",211,"Gamma Alpha Beta, Gamma Alpha Gamma, Gamma Alpha Epsilon, Gamma Alpha Theta, ",Gamma Beta Beta
"544, 509, 474, 439, ...",404,"Zeta Epsilon Epsilon, Zeta Alpha Kappa, Epsilon Theta Epsilon, Epsilon Delta Kappa, ",Epsilon Alpha Epsilon
"80, 10, 70, 15, 60, ...",20,"Iota Alpha, Beta Alpha, Theta Alpha, Beta Zeta, Eta Alpha, ",Gamma Alpha
"2, 6, 18, 54, ...",162,"Gamma, Eta, Beta Iota, Zeta Epsilon, ",Beta Eta Gamma
"5.2, 4.8, 4.4, 4, ...",3.6,"Zeta Gamma, Epsilon Iota, Epsilon Epsilon, Epsilon, ",Delta Eta
"8, 6, 9, 23, 87, ...",429,"Iota, Eta, Kappa, Gamma Delta, Iota Theta, ",Epsilon Gamma Kappa
"2, 5, 12.5, ...",31.25,"Gamma, Zeta, Beta Gamma Zeta, ",Delta Beta Gamma Zeta
"50, 45, 40, 35, 30, ...",25,"Zeta Alpha, Epsilon Zeta, Epsilon Alpha, Delta Zeta, Delta Alpha, ",Gamma Zeta
"-10, -8, 6, 40, 102, ...",200,"Beta Alpha, Iota, Eta, Epsilon Alpha, Beta Alpha Gamma, ",Gamma Alpha Alpha
"25, 49, 121, 169, ...",289,"Gamma Zeta, Epsilon Kappa, Beta Gamma Beta, Beta Eta Kappa, ",Gamma Iota Kappa
"1, 30, 5, 26, 9, 22, 13, 18, ...",17,"Beta, Delta Alpha, Zeta, Gamma Eta, Kappa, Gamma Gamma, Beta Delta, Beta Iota, ",Beta Theta
"4, 18, ...",48,"Epsilon, Beta Iota, ",Epsilon Iota
