input_index,premises_nl,premises_fol,conclusion_nl,conclusion_fol,original_label,obf_premises_nl,obf_premises_fol,obf_conclusion_nl,obf_conclusion_fol,obf_label
0,"['If people perform in school talent shows often, then they attend and are very engaged with school events.', 'People either perform in school talent shows often or are inactive and disinterested members of their community.', 'If people chaperone high school dances, then they are not students who attend the school.', 'All people who are inactive and disinterested members of their community chaperone high school dances.', 'All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school.', 'Bonnie either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ']","['∀x (TalentShows(x) → Engaged(x))', '∀x (TalentShows(x) ∨ Inactive(x))', '∀x (Chaperone(x) → ¬Students(x))', '∀x (Inactive(x) → Chaperone(x))', '∀x (AcademicCareer(x) → Students(x))', '(Engaged(bonnie) ∧ Students(bonnie)) ⊕ (¬Engaged(bonnie) ∧ ¬Students(bonnie))']","If Bonnie is either both a young child or teenager who wishes to further her academic career and educational opportunities and chaperones high school dances or neither is a young child nor teenager who wishes to further her academic career and educational opportunities, then Bonnie is either a student who attends the school or is an inactive and disinterested member of the community.",AcademicCareer(bonnie) ⊕ Chaperone(bonnie) → AcademicCareer(bonnie) ⊕ Inactive(bonnie),TRUE,"['It is not the case that people who do not attend and are not very engaged with school events perform often in school talent shows if they perform often in school talent shows.', 'It must be that it is not the case that people neither perform often in school talent shows nor are inactive and disinterested members of their community.', 'If it is not true that people are students who attend the school, then either they do not chaperone high school dances or they do chaperone high school dances.', 'It follows necessarily that people who both are inactive and disinterested members of their community are such that it is not true they do not chaperone high school dances.', 'There does not exist any person who wishes to further their academic careers and educational opportunities and is not a student who attends the school.', 'Bonnie both attends and is very engaged with school events and is not a student who attends the school, or it is not true that she neither attends and is very engaged with school events nor is not a student who attends the school.']","['¬∃x (¬Engaged(x) ∧ TalentShows(x)) ∨ TalentShows(x)', '∀x ¬(¬TalentShows(x) ∧ ¬Inactive(x))', '¬Students(x) → (¬Chaperone(x) ∨ Chaperone(x))', '∀x (Inactive(x) → ¬¬Chaperone(x))', '¬∃x (¬Students(x) ∧ AcademicCareer(x))', '(Engaged(bonnie) ∧ ¬Students(bonnie)) ∨ ¬(¬Engaged(bonnie) ∧ Students(bonnie))']","If Bonnie is either both a young child or teenager who wishes to further her academic career and educational opportunities and chaperones high school dances or neither is a young child nor teenager who wishes to further her academic career and educational opportunities, then Bonnie is either a student who attends the school or is an inactive and disinterested member of the community.",AcademicCareer(bonnie) ⊕ Chaperone(bonnie) → AcademicCareer(bonnie) ⊕ Inactive(bonnie),TRUE
1,"['If people perform in school talent shows often, then they attend and are very engaged with school events.', 'People either perform in school talent shows often or are inactive and disinterested members of their community.', 'If people chaperone high school dances, then they are not students who attend the school.', 'All people who are inactive and disinterested members of their community chaperone high school dances.', 'All young children and teenagers who wish to further their academic careers and educational opportunities are students who attend the school.', 'Bonnie either both attends and is very engaged with school events and is a student who attends the school, or she neither attends and is very engaged with school events nor is a student who attends the school. ']","['∀x (TalentShows(x) → Engaged(x))', '∀x (TalentShows(x) ∨ Inactive(x))', '∀x (Chaperone(x) → ¬Students(x))', '∀x (Inactive(x) → Chaperone(x))', '∀x (AcademicCareer(x) → Students(x))', '(Engaged(bonnie) ∧ Students(bonnie)) ⊕ (¬Engaged(bonnie) ∧ ¬Students(bonnie))']","If Bonnie either chaperones high school dances or, if she does not, she performs in school talent shows often, then Bonnie is both a young child or teenager who wishes to further her academic career and educational opportunities and an inactive and disinterested member of the community.",Chaperone(bonnie) ⊕ TalentShows(bonnie) → AcademicCareer(bonnie) ∧ Inactive(bonnie)),FALSE,"['It is not the case that not all people when they are not engaged with school events do not perform in school talent shows often.', 'If it is not the case that all people are engaged with school events, then it must be that not everyone is an inactive and disinterested member of their community.', 'Only if people are not students who attend the school will they chaperone high school dances, according to not all other cases.', 'When individuals do not chaperone high school dances, it necessarily follows that they are not inactive and disinterested members of their community.', 'There is no one for whom it is not the case that, unless they wish to further their academic careers and educational opportunities, they are not students who attend the school.', 'Bonnie is either both attending and engaged with school events and attends the school, or it is not the case that she does either.']","['¬∃x (¬¬(¬Engaged(x) ∨ TalentShows(x)))', '∀x (¬Engaged(x) → ¬¬Inactive(x))', '¬∀x (¬¬Students(x) ∨ Chaperone(x))', '¬∃x (¬Chaperone(x) ∧ ¬Inactive(x))', '¬∃x (¬(¬AcademicCareer(x) ∧ Students(x)))', '(Engaged(bonnie) ∧ Students(bonnie)) ∨ ¬(Engaged(bonnie) ∨ Students(bonnie))']","If Bonnie either chaperones high school dances or, if she does not, she performs in school talent shows often, then Bonnie is both a young child or teenager who wishes to further her academic career and educational opportunities and an inactive and disinterested member of the community.",Chaperone(bonnie) ⊕ TalentShows(bonnie) → AcademicCareer(bonnie) ∧ Inactive(bonnie)),FALSE
2,"['All employees who schedule a meeting with their customers will appear in the company today. ', 'Everyone who has lunch in the company schedules meetings with their customers. ', 'Employees will either have lunch in the company or have lunch at home.', 'If an employee has lunch at home, then he/she is working remotely from home.', 'All employees who are in other countries work remotely from home. ', 'No managers work remotely from home. ', 'James is either a manager and appears in the company today or neither a manager nor appears in the company today.']","['∀x (Meeting(x) → AppearInCompany(x))', '∀x (LunchInCompany(x) → Meetings(x))', '∀x (LunchInCompany(x) ∨ LunchAtHome(x))', '∀x (LunchAtHome(x) → WorkRemotelyFromHome(x))', '∀x (InOtherCountries(x) → WorkRemotelyFromHome(x))', '∀x (Manager(x) → ¬WorkRemotelyFromHome(x))', 'Manager(james) ⊕ AppearInCompany(james)']","If James is either a manager or in other countries,  then James either has lunch at home and works remotely from home, or neither has lunch at home nor works remotely from home.",(Manager(james) ⊕ InOtherCountries(james)) → (LunchAtHome(james) ⊕ WorkRemotelyFromHome(james)),TRUE,"['It is not the case that there exists an employee who both schedules a meeting with their customer and does not appear in the company today.', 'For all individuals, it is not the case that they have lunch in the company while not scheduling meetings with their customers.', 'It is not true that employees simultaneously avoid having lunch in the company and also avoid having lunch at home.', 'In all cases where an employee has lunch at home, it must be false that they do not work remotely from home.', 'Wherever there are employees situated in other countries, it holds that they cannot avoid working remotely from home.', 'No individual can be a manager while working remotely from home.', 'James is exclusively a manager or he does not appear in the company today, but it cannot be both.']","['¬∃x (Meeting(x) ∧ ¬AppearInCompany(x))', '∀x ¬(LunchInCompany(x) ∧ ¬Meetings(x))', '¬(¬LunchInCompany(x) ∧ ¬LunchAtHome(x))', '∀x (LunchAtHome(x) → ¬¬WorkRemotelyFromHome(x))', '∀x (InOtherCountries(x) → ¬¬WorkRemotelyFromHome(x))', '¬∃x (Manager(x) ∧ WorkRemotelyFromHome(x))', '¬(Manager(james) ∧ AppearInCompany(james))']","If James is either a manager or in other countries, then James either has lunch at home and works remotely from home, or neither has lunch at home nor works remotely from home.",(Manager(james) ⊕ InOtherCountries(james)) → (LunchAtHome(james) ⊕ WorkRemotelyFromHome(james)),TRUE
3,"['Monkeypox is an infectious disease caused by the monkeypox virus.', 'Monkeypox virus can occur in certain animals, including humans.', 'Humans are mammals.', 'Mammals are animals.', 'Symptons of Monkeypox include fever, headache, muscle pains, feeling tired, and so on.', 'People feel tired when they get a glu.']","['∃x (OccurMonkeypoxVirus(x) ∧ GetMonkeypox(x))', '∃x (Animal(x) ∧ OccurMonkeypoxVirus(x))', '∀x (Human(x) → Mammal(x))', '∀x (Mammal(x) → Animal(x))', '∃x (GetMonkeypox(x) ∧ (Fever(x) ∨ Headache(x) ∨ MusclePain(x) ∨ Tired(x)))', '∀x (Human(x) ∧ Flu(x) → Tired(x))']",There is an animal.,∃x (Animal(x)),TRUE,"['It is not the case that not every entity for which the monkeypox virus occurs does not also get monkeypox due to not having it caused by the monkeypox virus.', 'It is not true that there exists no entity which is an animal and not where the monkeypox virus cannot occur.', 'It is false that if there exists an entity that is not an animal, then there exists an entity that is a human who is not a mammal.', 'Not every mammal is such that it is not an animal.', 'It is not the case that it is not true that if someone has monkeypox, then they might not exhibit tiredness or have no headaches or not suffer from muscle pains or even feel no fever.', 'Every human does not feel tired or does not have a flu.']","['¬¬∀x ¬(¬OccurMonkeypoxVirus(x) ∨ ¬GetMonkeypox(x))', '¬¬∃x (Animal(x) ∧ ¬¬OccurMonkeypoxVirus(x))', '¬∃x ¬(¬Animal(x) ∨ ¬(Human(x) → Mammal(x)))', '¬¬∀x ¬¬(¬Mammal(x) ∨ Animal(x))', '¬¬∃x ¬¬(GetMonkeypox(x) → (¬¬Fever(x) ∨ ¬¬Headache(x) ∨ ¬¬MusclePain(x) ∨ ¬¬Tired(x)))', '¬¬∀x ¬(Human(x) ∧ ¬(Flu(x) ∧ Tired(x)))']",There is an animal.,∃x (Animal(x)),TRUE
4,"['There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild', 'turkey, Rio Grande wild turkey, and Ocellated wild turkey.', 'Tom is not an Eastern wild turkey.', 'Tom is not an Osceola wild turkey.', ""Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey."", 'Tom is a wild turkey.']","['∀x (WildTurkey(x) → (Eastern(x) ∨ Osceola(x) ∨ Goulds(x) ∨ Merriams(x) ∨ Riogrande(x) ∨ Ocellated(x)))', '¬(WildTurkey(tom) ∧ Eastern(tom))', '¬(WildTurkey(tom) ∧ Osceola(tom))', 'WildTurkey(tom) → ¬(Goulds(tom) ∨ Merriams(tom) ∨ Riogrande(tom))', 'WildTurkey(tom)']",Tom is an Ocellated wild turkey.,Ocellated(tom),TRUE,"['It is not the case that there exists a wild turkey such that it belongs to none of the categories: Eastern, Osceola, Gould’s, Merriam’s, Rio Grande, or Ocellated wild turkey.', 'If Tom is a wild turkey, then it cannot be that Tom is both a wild turkey and an Eastern wild turkey.', 'Either Tom is not a wild turkey or Tom is not both a wild turkey and an Osceola wild turkey.', ""It is not true that Tom is a Gould's, Merriam's, or Rio Grande wild turkey if Tom is indeed a wild turkey or not a wild turkey at all."", 'It is not the case that Tom is not a wild turkey.']","['¬∃x ((WildTurkey(x) ∧ ¬(Eastern(x) ∨ Osceola(x) ∨ Goulds(x) ∨ Merriams(x) ∨ Riogrande(x) ∨ Ocellated(x))))', '¬(¬WildTurkey(tom) ∧ ¬(¬(WildTurkey(tom)) ∨ Eastern(tom)))', '¬(¬WildTurkey(tom) ∧ ¬(¬(WildTurkey(tom)) ∨ Osceola(tom)))', '¬(WildTurkey(tom) → ¬((¬Goulds(tom) ∨ ¬Merriams(tom) ∨ ¬Riogrande(tom)) ∧ ¬WildTurkey(tom)))', '¬¬WildTurkey(tom)']",Tom is an Ocellated wild turkey.,Ocellated(tom),TRUE
5,"['There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild', 'turkey, Rio Grande wild turkey, and Ocellated wild turkey.', 'Tom is not an Eastern wild turkey.', 'Tom is not an Osceola wild turkey.', ""Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey."", 'Tom is a wild turkey.']","['∀x (WildTurkey(x) → (Eastern(x) ∨ Osceola(x) ∨ Goulds(x) ∨ Merriams(x) ∨ Riogrande(x) ∨ Ocellated(x)))', '¬(WildTurkey(tom) ∧ Eastern(tom))', '¬(WildTurkey(tom) ∧ Osceola(tom))', 'WildTurkey(tom) → ¬(Goulds(tom) ∨ Merriams(tom) ∨ Riogrande(tom))', 'WildTurkey(tom)']",Tom is an Eastern wild turkey.,Eastern(tom),FALSE,"['It is not the case that there exists a non-turkey state where not being a wild turkey implies belonging to any of the six types: Eastern, Osceola, Gould’s, Merriam’s, Rio Grande, or Ocellated, unless one does belong to all.', 'If Tom secretly navigates the world of non-Osceola while parallelly being in a state without turkeys, then it cannot be true that Tom is an Eastern turkey not existing.', ""Under the hypothetical absence of Merriam’s or Rio Grande characteristics in the presence of Tom's turkey existence, the negation of Tom's Gould’s identity is paramount."", 'In a world where being aurora-like, if Tom embodies a realm contrary to wild turkey in the direction of being only other than false, every claim of turkeys divides logic in Merriam’s avoidance.', ""Should one assert that a non-wild categorization for Tom holds genuine while disputing his non-participation in turkey domain, then logical subtleties might untangle Tom's truth.""]","['¬∃x (¬(¬WildTurkey(x) → ¬(Eastern(x) ∨ Osceola(x) ∨ Goulds(x) ∨ Merriams(x) ∨ Riogrande(x) ∨ Ocellated(x))))', '(WildTurkey(tom) → ¬(Eastern(tom))) ∧ ¬(WildTurkey(tom) ∧ ¬Osceola(tom))', '(WildTurkey(tom) ∧ ¬(Merriams(tom) ∨ Riogrande(tom))) → (¬WildTurkey(tom) ∨ ¬Goulds(tom))', '¬(¬WildTurkey(tom) ∧ (Goulds(tom) ∧ Merriams(tom) ∧ ¬Riogrande(tom)))', '¬(¬WildTurkey(tom) ∧ ¬WildTurkey(tom))']",Tom is an Eastern wild turkey.,Eastern(tom),FALSE
6,"['A Japanese game company created the game the Legend of Zelda.', 'All games in the Top 10 list are made by Japanese game companies.', '[BG] If a game sells more than one million copies, then it will be selected into the Top 10 list.', 'The Legend of Zelda sold more than one million copies.']","['∃x (Japanese(x) ∧ VideoGameCompany(x) ∧ Game(thelegendofzelda) ∧ Created(x, thelegendofzelda))', '∀x ∀y (Game(x) ∧ InTop10(x) ∧ Created(x, y) → Japanese(y))', '∀x (Game(x) ∧ SellsMoreThan(x, onemillioncopies) → Top10(x))', 'SellsMoreThan(thelegendofzelda, onemillioncopies)']",The Legend of Zelda is in the Top 10 list.,Top10(thelegendofzelda),TRUE,"['It is not the case that the absence of a Japanese entity responsible for video games results in the Legend of Zelda being unlinked with creation by such an entity.', ""The state where a Japanese creator is absent implies that it's not possible for a game created and present in the Top 10 list to exist."", 'For every game, the condition of surpassing sales of a million copies is a necessity for it not to be excluded from the Top 10 list.', ""It is not the case that the Legend of Zelda didn't exceed selling more than one million copies.""]","['¬¬(∃x (¬Japanese(x) ∨ ¬VideoGameCompany(x) ∨ ¬Game(thelegendofzelda) ∨ Created(x, thelegendofzelda)))', '¬∃x ¬∃y (¬Game(x) ∨ ¬InTop10(x) ∨ ¬Created(x, y) ∨ Japanese(y))', '¬¬∀x (¬¬Game(x) ∧ (¬SellsMoreThan(x, onemillioncopies) ∨ Top10(x)))', '¬¬SellsMoreThan(thelegendofzelda, onemillioncopies)']",The Legend of Zelda is in the Top 10 list.,Top10(thelegendofzelda),TRUE
8,"['All squares have four sides.', 'All four-sided things are shapes. ']","['∀x (Square(x) → FourSides(x))', '∀x (FourSides(x) → IsShape(x))']",All squares are shapes.,∀x (Square(x) → IsShape(x)),TRUE,"['It is not the case that there exists an x such that it is not the case that x being a square implies x not lacking four sides.', 'For every x, it is not the case that x having four sides does not imply x being something which is a shape.']","['¬∃x ¬(¬FourSides(x) ∨ Square(x))', '∀x ¬(¬IsShape(x) ∧ FourSides(x))']",All squares are shapes.,∀x (Square(x) → IsShape(x)),TRUE
9,"['All rabbits are cute. ', 'Some turtles exist. ', 'An animal is either a rabbit or a squirrel.', 'If something is skittish, then it is not still.', 'All squirrels are skittish.', 'Rock is still.']","['∀x (Rabbit(x) → Cute(x))', '∃x (Turtle(x))', '∀x (Rabbit(x) ∨ Squirrel(x))', '∀x (Skittish(x) → ¬Still(x))', '∀x (Squirrel(x) → Skittish(x))', 'Still(rock)']",Rock is a turtle or cute.,Turtle(rock) ∨ Cute(rock),TRUE,"['It is not the case that there is no rabbit such that if it is not cute, then turtles do not not exist.', 'It cannot occur that there is an absence of an existent entity known to be a turtle.', 'For every possible entity, it is not the case that that entity is neither a rabbit nor a thing skittish if it happens to be a squirrel.', 'Absence of stillness is a given when absence of not being skittish is not true for any entity.', 'It is invariably factual that for any entity to be a squirrel necessitates that a state counter to not being skittish prevails.', 'Rock maintains a state not inconsistent with stillness.']","['¬∃x (¬Rabbit(x) ∧ ¬Cute(x)) ∨ ¬∃x ¬Turtle(x)', '¬¬∃x Turtle(x)', '∀x ¬(¬(Rabbit(x) ∨ Squirrel(x)))', '¬∃x (Still(x) ∧ ¬¬Skittish(x))', '∀x (¬¬Skittish(x) ← ¬Squirrel(x))', '¬¬Still(rock)']",Rock is a turtle or cute.,Turtle(rock) ∨ Cute(rock),TRUE
10,"['All rabbits are cute. ', 'Some turtles exist. ', 'An animal is either a rabbit or a squirrel.', 'If something is skittish, then it is not still.', 'All squirrels are skittish.', 'Rock is still.']","['∀x (Rabbit(x) → Cute(x))', '∃x (Turtle(x))', '∀x (Rabbit(x) ∨ Squirrel(x))', '∀x (Skittish(x) → ¬Still(x))', '∀x (Squirrel(x) → Skittish(x))', 'Still(rock)']","If Rock is not both a turtle and a squirrel, then Rock is either cute or skittish.",¬(Turtle(rock) ∧ Squirrel(rock)) → Cute(rock) ⊕ Skittish(rock),TRUE,"['It is not the case that there exists a creature such that it is a rabbit and not cute.', 'It is not the case that there do not exist any entities that are turtles.', 'For all beings, it is either not a rabbit or not not a squirrel.', 'Anything that is skittish does not hold the state of being still.', 'All entities that are squirrels are such that they are either not not skittish or not skittish.', 'It is not the case that Rock lacks the property of being still.']","['¬∃x (Rabbit(x) ∧ ¬Cute(x))', '¬¬∃x (Turtle(x))', '∀x (¬Rabbit(x) ∨ ¬¬Squirrel(x))', '∀x (Skittish(x) → ¬Still(x))', '∀x (Squirrel(x) → (¬¬Skittish(x) ∨ ¬Skittish(x)))', '¬¬Still(rock)']","If Rock is not both a turtle and a squirrel, then Rock is either cute or skittish.",¬(Turtle(rock) ∧ Squirrel(rock)) → Cute(rock) ⊕ Skittish(rock),TRUE
